company_name,reason,date_added
INXY Payments,Added to outreach blacklist,2026-05-21
INXY,Added to outreach blacklist,2026-05-21
SoftGamings,Added to outreach blacklist,2026-05-21
Yolo Group,Added to outreach blacklist,2026-05-21
Intelligent Gaming,Added to outreach blacklist,2026-05-21
Sift,Added to outreach blacklist,2026-05-21
Playnirvana Group,Added to outreach blacklist,2026-05-21
Evolution,Added to outreach blacklist,2026-05-21
Kava Gaming,Added to outreach blacklist,2026-05-21
DiamanteTech,Added to outreach blacklist,2026-05-21
Nailed It! Games/Games Global,Added to outreach blacklist,2026-05-21
Ivy,Added to outreach blacklist,2026-05-21
EnergyCasino,Added to outreach blacklist,2026-05-21
Funbet.me,Added to outreach blacklist,2026-05-21
SYNOT Games Ltd,Added to outreach blacklist,2026-05-21
TrustPay,Added to outreach blacklist,2026-05-21
LAG MERCHANT GROUP LTD.,Added to outreach blacklist,2026-05-21
PlayNorth,Added to outreach blacklist,2026-05-21
CSB Group,Added to outreach blacklist,2026-05-21
VallettaPay,Added to outreach blacklist,2026-05-21
JADE Entertainment and Gaming,Added to outreach blacklist,2026-05-21
Dualsoft Doo,Added to outreach blacklist,2026-05-21
Source Code Lab,Added to outreach blacklist,2026-05-21
Tycheros,Added to outreach blacklist,2026-05-21
FantasyGo,Added to outreach blacklist,2026-05-21
Fantafeat Enterprise,Added to outreach blacklist,2026-05-21
Adyen,Added to outreach blacklist,2026-05-21
Clear junction,Added to outreach blacklist,2026-05-21
Finchecker,Added to outreach blacklist,2026-05-21
Akurateco,Added to outreach blacklist,2026-05-21
Thedex,Added to outreach blacklist,2026-05-21
Cleverlee,Added to outreach blacklist,2026-05-21
OlyPay,Added to outreach blacklist,2026-05-21
Coinspaid,Added to outreach blacklist,2026-05-21
WALLESTER,Added to outreach blacklist,2026-05-21
4 Leaf Poker,Added to outreach blacklist,2026-05-21
Prime Ent Group,Added to outreach blacklist,2026-05-21
SOFT PAY,Added to outreach blacklist,2026-05-21
Casino House,Added to outreach blacklist,2026-05-21
Soap Payments,Added to outreach blacklist,2026-05-21
Evoke 888 & W.Hill,Added to outreach blacklist,2026-05-21
Commercegate,Added to outreach blacklist,2026-05-21
Entain Group Vienna,Added to outreach blacklist,2026-05-21
SpinOro by Anakatech,Added to outreach blacklist,2026-05-21
Pagseguro International,Added to outreach blacklist,2026-05-21
Betatransfer,Added to outreach blacklist,2026-05-21
SPORTIUM AND MARCAAPUESTAS,Added to outreach blacklist,2026-05-21
Verifo,Added to outreach blacklist,2026-05-21
Crypto Gator,Added to outreach blacklist,2026-05-21
Paynopain,Added to outreach blacklist,2026-05-21
Paysation,Added to outreach blacklist,2026-05-21
PayPlay,Added to outreach blacklist,2026-05-21
UNIWIRE,Added to outreach blacklist,2026-05-21
Dream Play,Added to outreach blacklist,2026-05-21
Neopay,Added to outreach blacklist,2026-05-21
ENJOY,Added to outreach blacklist,2026-05-21
MASCOT GAMING,Added to outreach blacklist,2026-05-21
BetForge,Added to outreach blacklist,2026-05-21
Tugi Tark,Added to outreach blacklist,2026-05-21
SGW-payment,Added to outreach blacklist,2026-05-21
Payouts.com,Added to outreach blacklist,2026-05-21
Evoke,Added to outreach blacklist,2026-05-21
Mollie,Added to outreach blacklist,2026-05-21
1win,Added to outreach blacklist,2026-05-21
Paysafe,Added to outreach blacklist,2026-05-21
Coins paid,Added to outreach blacklist,2026-05-21
Tx Tech,Added to outreach blacklist,2026-05-21
Smartico,Added to outreach blacklist,2026-05-21
Eupago,Added to outreach blacklist,2026-05-21
Amusnet Romania,Added to outreach blacklist,2026-05-21
PariPesa,Added to outreach blacklist,2026-05-21
Amusnet,Added to outreach blacklist,2026-05-21
Monnet Payments,Added to outreach blacklist,2026-05-21
Heropayments,Added to outreach blacklist,2026-05-21
VaultGames,Added to outreach blacklist,2026-05-21
Oddsgate,Added to outreach blacklist,2026-05-21
Redcore,Added to outreach blacklist,2026-05-21
BetBoom,Added to outreach blacklist,2026-05-21
Tylt Money,Added to outreach blacklist,2026-05-21
